City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
77,Mount Gambier,AU,-37.8333,140.7667,40.91,93,100,0.0,mist
78,Ancud,CL,-41.8697,-73.8203,42.22,77,12,8.03,few clouds
79,Starosubkhangulovo,RU,53.1031,57.4423,68.29,66,91,7.9,overcast clouds
80,Nago,JP,26.5881,127.9761,88.23,85,100,14.07,overcast clouds
81,Chokurdakh,RU,70.6333,147.9167,43.99,58,85,13.38,overcast clouds
82,Port Alfred,ZA,-33.5906,26.891,63.81,56,83,7.7,broken clouds
83,Pevek,RU,69.7008,170.3133,32.29,98,100,7.0,light snow
84,Straumen,NO,63.8709,11.2999,51.8,91,97,8.25,light rain
85,Sabang,ID,5.8933,95.3214,82.51,72,33,14.94,scattered clouds
86,Vardo,NO,70.3705,31.1107,55.38,82,30,0.0,scattered clouds
87,Tasiilaq,GL,65.6145,-37.6368,37.56,86,37,0.72,scattered clouds
88,Sorong,ID,-0.8833,131.25,78.6,84,97,5.61,overcast clouds
89,Arraial Do Cabo,BR,-22.9661,-42.0278,70.83,87,95,12.48,overcast clouds
90,Iqaluit,CA,63.7506,-68.5145,46.06,68,69,12.3,broken clouds
91,Melfort,CA,52.8667,-104.6177,78.6,61,64,5.75,broken clouds
92,Mataura,NZ,-46.1927,168.8643,45.48,93,100,3.58,overcast clouds
93,Asfi,MA,32.2994,-9.2372,70.2,82,1,18.59,clear sky
94,Moron,AR,-34.6534,-58.6198,55.15,51,76,4.32,broken clouds
95,Georgetown,MY,5.4112,100.3354,78.73,96,40,6.91,scattered clouds
96,Kirkwood,US,38.5834,-90.4068,87.55,66,20,4.61,few clouds
97,Jamestown,US,42.097,-79.2353,73.94,83,100,9.22,overcast clouds
98,Bondo,CD,3.8146,23.6866,69.31,100,100,3.71,light rain
99,Mackay,AU,-21.15,149.2,72.68,74,0,11.01,clear sky
100,Shimoda,JP,34.6667,138.95,77.11,91,100,13.11,light rain
101,Christiansfeld,DK,55.3582,9.487,61.05,100,76,4.61,broken clouds
102,Ust-Maya,RU,60.4167,134.5333,74.93,45,100,11.81,overcast clouds
103,Thompson,CA,55.7435,-97.8558,83.03,27,30,4.52,scattered clouds
104,Emba,KZ,48.8264,58.1442,84.33,29,12,9.62,few clouds
105,Liverpool,GB,53.4106,-2.9779,80.62,50,0,5.75,clear sky
106,Knysna,ZA,-34.0363,23.0471,60.12,87,97,2.91,overcast clouds
107,Freeport,US,40.6576,-73.5832,80.58,80,20,23.02,few clouds
108,Komsomolskiy,UZ,40.4272,71.7189,77.72,29,0,4.61,clear sky
109,Bengkulu,ID,-3.8004,102.2655,75.58,86,2,3.53,clear sky
110,San Juan Bautista,PE,-14.0108,-75.7358,67.44,59,91,4.25,overcast clouds
111,Yumen,CN,40.2833,97.2,71.2,31,19,2.51,few clouds
112,Roald,NO,62.5833,6.1333,57.76,82,100,6.91,overcast clouds
